HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
W0002,TOTAL,MISC.,24,"$27,200","$21,760"
W1886,TOTAL,,501,"$3,021","$2,328"
W1887,TOTAL,,988,"$6,262","$4,822"
W1990,TOTAL,,2,$110,$88
W1999,TOTAL,,20,"$2,405","$1,928"
W2016,TOTAL,,"2,730","$59,559","$47,537"
W2965,TOTAL,,38,$303,$207
W3016,TOTAL,,452,"$3,522","$2,635"
W3025,TOTAL,,12,$26,$19
W3065,TOTAL,,"1,920","$5,607","$4,454"
W3701,TOTAL,,517,"$2,025","$1,615"
W3703,TOTAL,,5,$21,$16
W3708,TOTAL,,280,"$1,301","$1,019"
W4001,TOTAL,,66,$117,$87
W4003,TOTAL,,4,$27,$22
W4034,TOTAL,,4,$30,$24
W4072,TOTAL,,437,"$3,021","$2,151"
W4081,TOTAL,,"5,429","$146,198","$109,926"
W4125,TOTAL,,"2,826","$74,350","$58,878"
W4126,TOTAL,,215,$229,$159
W4128,TOTAL,,2,$1,$1
W4130,TOTAL,,"1,259","$36,712","$29,335"
W4131,TOTAL,,"1,731","$159,265","$127,140"
W4132,TOTAL,,"1,376","$74,321","$58,492"
W4134,TOTAL,,"2,647","$59,734","$47,362"
W4136,TOTAL,,177,"$2,406","$1,902"
W4139,TOTAL,,392,"$6,993","$5,487"
W4140,TOTAL,,"3,439","$72,634","$57,703"
W4141,TOTAL,,564,"$7,494","$5,921"
W4142,TOTAL,,468,"$52,716","$41,944"
W4143,TOTAL,,"4,012","$70,967","$56,721"
W4144,TOTAL,,500,"$6,875","$5,489"
W4147,TOTAL,,1,$20,$16
W4149,TOTAL,,5,$69,$55
W4150,TOTAL,,445,"$8,612","$6,778"
W4151,TOTAL,,"14,302","$257,273","$203,079"
W4153,TOTAL,,"1,103","$22,722","$18,006"
W4156,TOTAL,,565,"$16,004","$12,734"
W4158,TOTAL,,251,"$68,580","$54,864"
W5555,TOTAL,,95,"$14,333","$11,467"
W6103,TOTAL,,207,"$1,529","$1,223"
W6105,TOTAL,,"1,267","$35,141","$27,828"
W6345,TOTAL,,1,$15,$12
W6666,TOTAL,,4,"$1,054",$843
W7681,TOTAL,,"6,833","$427,696","$336,081"
W7682,TOTAL,,"2,367","$124,482","$97,930"
W7683,TOTAL,,974,"$46,352","$36,488"
W7684,TOTAL,,353,"$15,359","$11,858"
W7777,TOTAL,,"1,355","$13,774","$10,919"
W7800,TOTAL,,"55,278","$34,194","$26,835"
W7811,TOTAL,,587,"$14,515","$11,482"
W7821,TOTAL,,598,"$7,159","$5,685"
W7822,TOTAL,,117,"$1,107",$879
W7823,TOTAL,,208,"$70,225","$56,058"
W7824,TOTAL,,8,$600,$453
W7825,TOTAL,,485,"$7,253","$5,682"
W7827,TOTAL,,644,"$8,580","$6,792"
W7828,TOTAL,,763,"$14,778","$11,693"
W8634,TOTAL,,198,"$4,950","$4,950"
W8888,TOTAL,,115,"$3,932","$3,126"
W8889,TOTAL,,37,$542,$505
W9200,TOTAL,,78,"$33,374","$26,034"
W9205,TOTAL,,55,"$1,450","$1,145"
W9610,TOTAL,,189,"$7,045","$5,536"
W9612,TOTAL,,"12,322","$458,457","$352,081"
W9614,TOTAL,,"53,932","$2,034,604","$1,565,270"
W9616,TOTAL,,127,"$4,781","$3,743"
W9618,TOTAL,,434,"$18,248","$14,264"
